toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
2018.01,357501308,CP,15h19m20.99s,229.837442,+29d12m28.36s,29.207877,-141.096,395.502,2458958.258,7.4355709,2.3450321,1310.680316,2.2761564,26.0757607,576.3403106,8.962,27.9956,4218.9,4.67,0.622512,2020-06-19 6:00,2024-10-01 10:08
2019.01,159781361,CP,15h37m43.62s,234.431765,+48d57m18.74s,48.955206,12.352,-46.466,2460431.584,15.3468182,6.425,665,3.99579,126.052,933,9.6087,198.007,5588,3.92293,1.8,2020-06-19 6:00,2024-08-15 10:08
202.01,355509914,PC,01h02m06.01s,15.52504,-59d05m15.81s,-59.087724,17.866,7.733,2458326.11,1.7386695,1.1898354,13710.7615,9.455763,418.9214934,1153.859448,14.6723,627.339,4746,4.52746,0.820258,2018-11-14 15:06,2024-05-02 10:08
2020.01,39903405,KP,16h20m36.34s,245.151432,+41d02m52.66s,41.04796,-10.312,-29.198,2460477.276,5.633477,4.132,5651,13.2583,588.518,1372,8.27468,127.774,6412.8,4.09,1.7,2020-06-19 6:00,2024-08-29 10:08
2021.01,236312126,KP,16h02m11.83s,240.549275,+28d10m10.65s,28.169625,-17.422,14.82,2459713.292,3.9415041,2.866,21330,13.8352,321.85,1179,10.5484,163.553,5729,4.52,0.92,2020-06-19 6:00,2022-09-02 16:02
2022.01,11996814,FP,02h04m40.93s,31.17055,+65d17m21.59s,65.289331,-26.036,24.771,2458790.849,0.4487349,2.8757897,3572.032803,5.8054498,928.877466,1408.021727,11.6484,89.3047,3975,4.62844,0.627144,2020-06-19 6:00,2021-10-29 12:59
2023.01,16884216,APC,15h31m27.2s,232.863345,+33d54m09.06s,33.902516,42.582,112.198,2458964.129,11.1900486,2.9741507,567.7989939,1.6608182,31.192573,602.7435196,8.5049,36.9284,4958,4.66667,0.695992,2020-06-19 6:00,2024-06-23 12:02
2024.01,255930614,KP,16h30m29.52s,247.622983,+38d20m51.13s,38.347535,-77.899,52.564,2460476.023,2.8758831,3.14,3152,8.33267,1095.91,1602,7.6262,75.8643,6084,4.17,1.46,2020-06-19 6:00,2024-08-29 10:08
2025.01,394050135,CP,18h51m10.86s,282.795256,+82d14m43.49s,82.245414,2.791,-4.521,2459754.94,8.8720542,3.6593396,6144.296801,11.9849813,343.7177625,1098.17169,10.9461,335.985,6042,4.15,1.47996,2020-06-19 7:20,2023-06-16 12:02
2026.01,407059875,PC,00h21m52.69s,5.469534,+66d10m05.23s,66.168119,-47.349,-11.911,2459904.709,7.1925327,2.551,1180,2.5719,75.7071,821,10.5782,108.076,5050,4.59,0.77,2020-06-19 7:20,2024-09-01 12:02
